site,date,Factor.1,Factor.2,Factor.3,Factor.4,Factor.5,Factor.6,Factor.7
MIC,2018-08-24T06:40:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2018-08-31T06:40:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2018-09-01T07:19:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2018-09-04T06:58:00Z,0.81092,0.77812,0.8189,3.2208,0.060861,0.048332,0.91808
MIC,2018-09-10T07:26:00Z,1.0294,1.0222,2.3731,0.38303,0.59155,0.88578,0.52362
MIC,2018-09-13T06:45:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2018-09-18T06:55:00Z,1.6383,0.79235,0.3492,2.9677,0.34396,1.8362,0.62885
MIC,2018-09-20T06:57:00Z,1.1137,1.8185,0.11516,3.4787,-0.2,1.7006,0.99654
MIC,2018-09-21T06:33:00Z,1.055,0.38661,2.0155,0.84306,0.57515,4.7215,-0.2
MIC,2018-09-25T06:55:00Z,0.94334,1.3386,0.39706,-0.016969,0.31962,3.3549,0.072422
MIC,2018-09-27T06:32:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2018-10-01T06:57:00Z,1.5621,0.94841,0.25951,-0.096638,1.1008,0.49093,0.62972
MIC,2018-10-05T07:08:00Z,0.22115,0.91635,1.138,0.99128,1.3028,0.25558,0.28699
MIC,2018-10-09T06:58:00Z,0.98418,-0.19074,0.36926,2.7243,1.3406,1.7754,0.065542
MIC,2018-10-11T06:32:00Z,0.051292,0.1526,0.34368,0.54151,-0.041307,-0.0038427,-0.024587
MIC,2018-10-16T06:55:00Z,0.38754,0.31097,0.5701,0.18207,0.050251,0.053475,0.095697
MIC,2018-10-18T06:44:00Z,0.44015,0.416,0.93187,0.32121,0.25403,-0.021441,0.084392
MIC,2018-10-20T07:35:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2018-10-26T07:26:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2018-10-31T06:44:00Z,0.61149,0.36852,0.64588,0.68634,0.12817,-0.18678,0.27594
MIC,2018-11-01T06:54:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2018-11-07T07:38:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2018-11-09T07:00:00Z,0.12105,0.014511,0.55155,0.76067,0.078596,0.094057,-0.049057
MIC,2018-11-15T08:15:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2018-11-16T09:12:00Z,1.0414,0.2728,1.2657,0.76322,0.86273,0.17074,-0.2
MIC,2018-11-21T07:28:00Z,1.071,0.58787,1.1598,3.1139,0.46195,0.046396,-0.2
MIC,2018-11-23T07:35:00Z,0.22931000000000001,1.0785,0.48146,2.1592,0.41616,1.1519,0.093051
MIC,2018-11-29T07:00:00Z,0.49,0.74797,0.11463,0.10991,0.89785,0.65869,0.62547
MIC,2018-11-30T07:00:00Z,1.2248000000000001,-0.094511,0.15806,3.2124,1.2307,0.53647,0.59834
MIC,2018-12-03T09:10:00Z,0.15291,0.639,0.47616000000000003,0.73698,0.11385,-0.079445,0.021313
MIC,2018-12-06T07:43:00Z,0.59084,1.5833,2.1056,4.2203,0.13176,-0.10453,-0.091581
MIC,2018-12-09T08:00:00Z,0.50686,1.9607,3.8461,4.2194,2.1115,-0.036383,0.21926
MIC,2018-12-12T06:52:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2018-12-20T07:45:00Z,1.623,2.2988,0.83589,0.22418,0.63327,0.3919,0.81391
MIC,2018-12-21T07:48:00Z,2.4777,-0.2,-0.2,4.1521,0.81008,0.93556,0.86852
MIC,2018-12-22T08:15:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2018-12-24T08:46:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2018-12-28T09:07:00Z,1.0237,1.4045,0.66363,0.70926,0.58468,1.7166,0.054416
MIC,2018-12-31T08:40:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2019-01-03T08:57:00Z,2.5441,0.59163,0.25588,2.3842,1.1485,0.23382,1.0882
MIC,2019-01-07T08:22:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2019-01-11T07:45:00Z,2.2033,2.9211,-0.2,1.3903,1.193,2.5086,1.348
MIC,2019-01-12T08:40:00Z,1.4961,1.7151,0.70101,0.14137,0.34773,1.3326,0.07164
MIC,2019-01-16T07:45:00Z,2.3042,1.2279,-0.18403,1.3384,3.8207,0.54147,2.1422
MIC,2019-01-21T07:43:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2019-01-22T07:50:00Z,1.0671,1.6218,0.17136,0.095864,0.78049,0.63132,1.3058
MIC,2019-01-28T07:42:00Z,2.1576,2.5352,0.3123,-0.13664,2.0816,4.3733,0.8626
MIC,2019-01-31T07:36:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2019-02-02T08:05:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2019-02-08T07:47:00Z,1.518,1.3429,-0.16003,2.0521,0.59735,1.5046,0.88179
MIC,2019-02-13T07:47:00Z,0.31666,1.8979,3.2047,4.0809,1.0848,-0.2,0.6894
MIC,2019-02-15T07:52:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2019-02-18T07:33:00Z,1.721,1.1003,1.3682,0.69788,0.93378,-0.2,1.1355
MIC,2019-02-21T07:46:00Z,2.2883,-0.13237,0.73476,3.599,-0.092724,0.46049,1.7306
MIC,2019-02-26T10:43:00Z,0.3451,0.35342,0.5601,0.51479,0.11419,0.21773,0.75897
MIC,2019-02-28T12:34:00Z,0.98513,0.82065,0.057995,0.096151,1.4067,0.6748,1.5615
MIC,2019-03-02T13:34:00Z,1.1681,0.21958,1.0776,0.0021415,1.129,2.4511,0.51651
MIC,2019-03-04T10:01:00Z,0.2363,-0.032918,1.8831,0.17009,0.051161,0.3081,-0.2
MIC,2019-03-09T12:53:00Z,2.5787,0.67877,1.6518,0.28434,0.21867,2.1963,0.19795
MIC,2019-03-11T12:03:00Z,0.83783,0.6542,3.3513,2.2057,0.54481,-0.11073,1.4362
MIC,2019-03-20T07:48:00Z,0.68956,3.334,2.8743,2.5354,-0.19477,-0.2,0.83059
MIC,2019-03-21T12:30:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2019-03-23T09:14:00Z,1.7186,0.85506,1.3582,-0.039294,0.96173,1.6762,0.71388
MIC,2019-03-28T12:19:00Z,0.29332,0.79057,0.64472,1.9806,1.4737,-0.2,1.2984
MIC,2019-03-31T07:58:00Z,0.56265,0.60419,0.79564,0.44321,1.4689,0.48755,0.8567
