Strata,Outcome,Group,Source,Model,Moving Average,Controls(n),Cases(n),Odds Ratio,Lower 95%CI,Upper 95%CI,% increase,% increase Lower 95%CI,% increase Upper 95%CI,AIC,BIC
site_DOW_MONTH_Year,Cardiorespiratory,All,Mineral dust and soil ressuspension,Primary model,1-day moving average,4771,1600,1.3859233063736403,1.3055194582437193,1.4663271545035612,38.59233063736403,30.551945824371927,46.63271545035612,1554.1376847759059,1591.781997133501
site_DOW_MONTH_Year,Cardiorespiratory,All,Aged sea salt,Primary model,1-day moving average,4776,1595,1.0558703690754738,0.9375526773198282,1.1741880608311195,5.5870369075473825,-6.2447322680171835,17.41880608311195,1073.4355318389605,1111.0579349454931
site_DOW_MONTH_Year,Cardiorespiratory,All,Secondary nitrate,Primary model,1-day moving average,4768,1603,0.9928872388629084,0.9442646619389038,1.0415098157869132,-0.7112761137091583,-5.573533806109621,4.150981578691315,1774.9083172369794,1812.5657423052462
site_DOW_MONTH_Year,Cardiorespiratory,All,Fresh sea salt mixed with aged emissions,Primary model,1-day moving average,4754,1617,1.4086050992021897,1.3403564732890436,1.4768537251153357,40.860509920218966,34.03564732890436,47.68537251153357,2366.8066590676185,2404.5249540846585
site_DOW_MONTH_Year,Cardiorespiratory,All,Industrial emissions,Primary model,1-day moving average,4775,1596,2.452787982098943,2.352443698329121,2.553132265868765,145.2787982098943,135.24436983291207,155.3132265868765,1459.6436700874367,1497.270460533505
site_DOW_MONTH_Year,Cardiorespiratory,All,Secondary sulfate,Primary model,1-day moving average,4746,1625,1.1264133212561465,1.0869321081007923,1.1658945344115006,12.641332125614646,8.693210810079233,16.58945344115006,1734.3023032657966,1772.0551449291434
site_DOW_MONTH_Year,Cardiorespiratory,All,"Combustion of biomass, coal and fossil fuels",Primary model,1-day moving average,4725,1646,1.2321793394570686,1.1530926995953916,1.3112659793187456,23.21793394570686,15.309269959539161,31.126597931874556,1620.2418050817614,1658.0845287504205
site_DOW_MONTH_Year,Cardiorespiratory,Male,Mineral dust and soil ressuspension,Sensitivity model,1-day moving average,2630,881,1.3380360683990236,1.2346922183264255,1.4413799184716216,33.80360683990236,23.46922183264255,44.13799184716216,816.9061923524298,850.373595733983
site_DOW_MONTH_Year,Cardiorespiratory,Male,Aged sea salt,Sensitivity model,1-day moving average,2632,879,1.08106695624717,0.9151954400854028,1.2469384724089372,8.106695624716998,-8.480455991459724,24.693847240893717,637.6717139902962,671.1232082740925
site_DOW_MONTH_Year,Cardiorespiratory,Male,Secondary nitrate,Sensitivity model,1-day moving average,2606,905,0.9539069549417167,0.8921664981665277,1.0156474117169056,-4.609304505828327,-10.78335018334723,1.5647411716905646,930.7285650994492,964.3841097053487
